sample_id,area,circularity,texture,intensity,perimeter,label,label_binary
CON_0000,46.97371322408986,0.8340942038025312,0.7179226523903203,143.35083228499914,19.299286900102473,Aspergillus,1
CON_0001,41.893885590630525,0.9127533312376104,0.6609560419495323,103.46442851014399,21.42192531713793,Aspergillus,1
CON_0002,48.18150830480554,0.6481145940944686,0.5571556443904209,95.45403349733078,18.830320316000154,Aspergillus,1
CON_0003,55.184238851264205,0.8050375389352455,0.4723675866753312,119.89876627767143,20.76815388144384,Aspergillus,1
CON_0004,41.12677300221331,0.7079485944702537,0.6337867976336308,114.89446132425215,14.425541332184856,Aspergillus,1
CON_0005,41.126904344406555,0.7210299692988242,0.5972182462506099,106.40315852018175,22.853174829491753,Aspergillus,1
CON_0006,55.63370252405913,0.7126084860608903,0.6574231864033279,140.89162342370145,22.004821901448896,Aspergillus,1
CON_0007,49.13947783322327,0.6908807384256146,0.6262206162018363,148.6591562571153,18.731645475727237,Aspergillus,1
CON_0008,39.24420491252039,0.763881730235586,0.6759463258383202,122.65220658875543,24.63698267372962,Aspergillus,1
CON_0009,47.34048034868772,0.6935239906871169,0.4857717746127319,164.32590243165785,25.750280550506233,Aspergillus,1
CON_0010,39.2926584575003,0.7816365460623871,0.7080872878761191,85.74932657599484,15.569760542524104,Aspergillus,1
CON_0011,39.27416197143795,0.7559809512440689,0.5737119525630879,114.19021622160847,18.94910088573514,Aspergillus,1
CON_0012,44.93569817252828,0.7408841562506872,0.7990313047150318,98.49533038191585,18.923430600850807,Aspergillus,1
CON_0013,27.693758042737617,0.687394907036672,0.4672974618292519,64.0039014878082,18.240387595564542,Aspergillus,1
CON_0014,29.200657339895738,0.7138582935545332,0.7583156563798299,117.51957942471901,25.317899367726994,Aspergillus,1
CON_0015,38.50169976607222,0.8204312980660604,0.5737492940155178,116.3475747485015,21.224695444908786,Aspergillus,1
CON_0016,34.89735103732461,0.8000733750099505,0.47182983956626623,165.40349229726394,20.941940634757557,Aspergillus,1
CON_0017,45.51397866076219,0.6817955804161158,0.49193369991348146,138.92435053664332,13.984550542372986,Aspergillus,1
CON_0018,35.735807395830314,0.767946584434338,0.5115583230166816,89.27439527012385,24.541672120836907,Aspergillus,1
CON_0019,31.701570389317666,0.8201109698697431,0.6008999135682299,175.62277699002564,17.04296642058611,Aspergillus,1
CON_0020,54.72519015137243,0.6264475775102902,0.61274025856426,156.63101086576057,22.23973052106531,Aspergillus,1
CON_0021,41.19378959610771,0.8034688153903948,0.48115599952737054,137.46293110405847,23.109507751832766,Aspergillus,1
CON_0022,43.54022563750339,0.7069900992843323,0.547077448928682,113.20547703450504,27.442634383354605,Aspergillus,1
CON_0023,31.602014510292346,0.8056478934874527,0.8070724430334236,91.2168228982956,16.764718403523553,Aspergillus,1
CON_0024,38.64493820379854,0.6989392674765986,0.7573051804120853,108.83379671786841,10.0,Aspergillus,1
CON_0025,43.88738071767893,0.6156094319468384,0.6023588403608838,152.66245859112558,22.73539817901478,Aspergillus,1
CON_0026,33.79205138062158,0.6297966049693469,0.554560417380184,176.53758917803827,29.202044726043415,Aspergillus,1
CON_0027,46.00558414676537,0.7638467957329105,0.5644037592061913,166.29730584816568,26.95578541175775,Aspergillus,1
CON_0028,38.19489048064956,0.7807778001377186,0.62362215672765,105.33451734641177,22.838637661098502,Aspergillus,1
CON_0029,40.666450001653786,0.6876546699916473,0.42726489217619135,86.41147700132967,20.03345525747181,Aspergillus,1
